descripcion,descripcion_corta,orden
PENDIENTE CONFIRMACION CLIENTE,PCC,1
PENDIENTE CONFIRMACION OPERADOR,PCO,2
EN PREPARACION,EP,3
EN CAMINO,EC,4
ENTREGADO,E,5
DEMORADO,D,6
RECHAZADO POR OPERADOR,RPO,7
ANULADO POR CLIENTE,APC,8
